,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"safety net (feat. Ty Dolla $ign)","Ariana Grande",364464,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
54,"WITHOUT YOU","The Kid LAROI",359985,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
55,"Mood Swings (feat. Lil Tjay)","Pop Smoke",356790,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
56,Circles,"Post Malone",355870,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
57,"The Code (feat. Polo G)","King Von",354278,https://open.spotify.com/track/5NOUjBikzECEJyZMTxtErD
58,nasty,"Ariana Grande",352039,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
59,"Someone You Loved","Lewis Capaldi",350027,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
60,"Sweater Weather","The Neighbourhood",349018,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
61,"Before You Go","Lewis Capaldi",347519,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
62,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",345254,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
63,"Young Wheezy (with Gunna)",NAV,342756,https://open.spotify.com/track/0bMyxvtbPa7HFemLjzw0xX
64,"The Box","Roddy Ricch",339884,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
65,"shut up","Ariana Grande",338148,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
66,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)","The Kid LAROI",332582,https://open.spotify.com/track/0DYNL4xbYWgNzppUamtyR4
67,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,329991,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
68,"What That Speed Bout!?","Mike WiLL Made-It",329167,https://open.spotify.com/track/5iZ5wjTTxSIv8Cfrhj6Jla
69,"Train Wreck","James Arthur",328881,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
70,"Better Together","Luke Combs",325309,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
71,Golden,"Harry Styles",323269,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
72,"Go Crazy","Chris Brown",322630,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
73,"Smile (with The Weeknd)","Juice WRLD",320055,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
74,"Spicy (feat. Post Malone)","Ty Dolla $ign",317316,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
75,"six thirty","Ariana Grande",316397,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
76,obvious,"Ariana Grande",314053,https://open.spotify.com/track/0q85C1JiECyYIQthz1posA
77,"24 (feat. Lil Baby)","Money Man",313384,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
78,"Midnight Sky","Miley Cyrus",308437,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
79,"Electric Love",BØRNS,308371,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
80,"SLOW DANCING IN THE DARK",Joji,308155,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
81,"my hair","Ariana Grande",307801,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
82,"Rockin' Around The Christmas Tree","Brenda Lee",306906,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
83,"7 Summers","Morgan Wallen",304210,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy
84,"Are You Bored Yet? (feat. Clairo)",Wallows,301752,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
85,"Savage Love (Laxed - Siren Beat)","Jawsh 685",299397,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
86,"Adore You","Harry Styles",292873,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
87,"death bed (coffee for your head)",Powfu,291120,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
88,Weeeeee,"Trippie Redd",289731,https://open.spotify.com/track/2PI3qpTqYowwMzOSQRuj73
89,"Daddy Issues","The Neighbourhood",285710,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
90,"hot girl bummer",blackbear,285432,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
91,"Jingle Bell Rock","Bobby Helms",283705,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
92,"If the World Was Ending - feat. Julia Michaels","JP Saxe",282485,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
93,"Whiskey Glasses","Morgan Wallen",277777,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
94,"Got It On Me","Pop Smoke",277015,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
95,"west side","Ariana Grande",276980,https://open.spotify.com/track/1whfVLMKWqAX3uk97VXsNN
96,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",276637,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
97,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",275964,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
98,Righteous,"Juice WRLD",274789,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
99,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",274482,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
100,Whoopty,CJ,273818,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
101,"love language","Ariana Grande",271564,https://open.spotify.com/track/6NYtLvyThMT0oALFdJFdzq
102,"Jocelyn Flores",XXXTENTACION,270675,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
103,"Life Is Good (feat. Drake)",Future,270108,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
104,"Santa Tell Me","Ariana Grande",269671,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
105,"After Party","Don Toliver",268964,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
106,"It's the Most Wonderful Time of the Year","Andy Williams",267813,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
107,goosebumps,"Travis Scott",267722,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
108,"Don't Need Friends (feat. Lil Baby)",NAV,264277,https://open.spotify.com/track/4x3mum2YGHtIBrgUKiNt4F
109,"lovely (with Khalid)","Billie Eilish",264108,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
110,"Wolves (feat. Post Malone)","Big Sean",263464,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
111,"Head & Heart (feat. MNEK)","Joel Corry",263120,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
112,"Roses - Imanbek Remix","SAINt JHN",263083,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
113,"Last Christmas",Wham!,262984,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
114,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",261228,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
115,Falling,"Harry Styles",260385,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
116,21,"Polo G",258678,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
117,"FEEL SOMETHING (feat. Marshmello)","The Kid LAROI",258596,https://open.spotify.com/track/1yP6g2Ka4CisR3i2cuIcjK
118,"Party Girl",StaySolidRocky,258553,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
119,"Crazy Story","Only The Family",257618,https://open.spotify.com/track/5i0eJv1DzuyhaYnro4wTKg
120,Dior,"Pop Smoke",257443,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
121,"Beautiful Crazy","Luke Combs",257312,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
122,"Deep End",Fousheé,256604,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
123,"One Of Them Girls","Lee Brice",256175,https://open.spotify.com/track/14GwnOeC9qYEKEA6uOZepa
124,"More Than My Hometown","Morgan Wallen",255395,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz
125,BOP,DaBaby,254921,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
126,"It's Beginning to Look a Lot like Christmas","Michael Bublé",254156,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
127,"Star Shopping","Lil Peep",253779,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
128,"Rags2Riches 2 (feat. Lil Baby)","Rod Wave",250966,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb
129,"Sunday Best",Surfaces,250919,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
130,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,248764,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
131,"WRONG (feat. Lil Mosey)","The Kid LAROI",246863,https://open.spotify.com/track/1EWkw4Fa6IlnsAihLUlFFM
132,"Ballin' (with Roddy Ricch)",Mustard,246207,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
133,July,"Noah Cyrus",246096,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
